<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;D;29.01.21;0;4859.8000000;4879.2000000;4713.2000000;4760.6000000;809513
YNDX;D;01.02.21;0;4786.4000000;4857.8000000;4728.6000000;4847.4000000;573930
YNDX;D;02.02.21;0;4850.4000000;4999.8000000;4850.4000000;4997.0000000;846570
YNDX;D;03.02.21;0;4984.0000000;5005.0000000;4901.6000000;4917.2000000;673322
YNDX;D;04.02.21;0;4934.0000000;5018.6000000;4903.4000000;5016.6000000;686670
YNDX;D;05.02.21;0;4990.2000000;5024.6000000;4913.0000000;4973.6000000;580426
YNDX;D;08.02.21;0;4995.6000000;5075.0000000;4973.2000000;5060.4000000;555898
YNDX;D;09.02.21;0;5062.4000000;5170.0000000;4995.2000000;5147.2000000;787338
YNDX;D;10.02.21;0;5142.8000000;5349.6000000;5105.0000000;5306.0000000;1508444
YNDX;D;11.02.21;0;5310.0000000;5394.0000000;5229.6000000;5361.6000000;912316
YNDX;D;12.02.21;0;5374.6000000;5459.2000000;5265.0000000;5448.0000000;1040840
YNDX;D;15.02.21;0;5463.4000000;5549.6000000;5404.0000000;5478.0000000;576146
YNDX;D;16.02.21;0;5483.8000000;5517.2000000;5325.4000000;5348.0000000;1160561
YNDX;D;17.02.21;0;5348.0000000;5362.8000000;5100.2000000;5187.0000000;1368065
YNDX;D;18.02.21;0;5205.0000000;5207.0000000;5005.4000000;5007.8000000;1181958
YNDX;D;19.02.21;0;5035.0000000;5142.0000000;4951.2000000;5005.0000000;1449078
YNDX;D;20.02.21;0;5053.8000000;5067.6000000;5007.0000000;5064.0000000;196731
YNDX;D;22.02.21;0;5024.4000000;5048.8000000;4902.2000000;4918.0000000;908836
YNDX;D;24.02.21;0;4960.0000000;5032.0000000;4901.2000000;4928.2000000;1001828
YNDX;D;25.02.21;0;4945.0000000;4975.0000000;4821.0000000;4857.4000000;906961
YNDX;D;26.02.21;0;4851.0000000;4875.8000000;4762.0000000;4813.2000000;1438926
