<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;01/12/20;00:00:00;0.0373850;0.0378250;0.0372700;0.0377000;29852440000
VTBR;D;02/12/20;00:00:00;0.0375500;0.0380500;0.0374700;0.0379700;33236820000
VTBR;D;03/12/20;00:00:00;0.0379950;0.0384300;0.0373400;0.0377550;46388570000
VTBR;D;04/12/20;00:00:00;0.0378350;0.0381000;0.0377000;0.0378350;39926930000
VTBR;D;07/12/20;00:00:00;0.0377950;0.0379850;0.0374450;0.0374900;25896520000
VTBR;D;08/12/20;00:00:00;0.0374800;0.0378000;0.0370500;0.0374800;26196850000
VTBR;D;09/12/20;00:00:00;0.0375050;0.0379400;0.0372500;0.0373200;31227560000
VTBR;D;10/12/20;00:00:00;0.0374200;0.0381400;0.0372300;0.0380300;47833580000
VTBR;D;11/12/20;00:00:00;0.0380750;0.0382300;0.0377000;0.0379450;35719410000
VTBR;D;14/12/20;00:00:00;0.0381500;0.0386950;0.0375000;0.0378300;63760160000
VTBR;D;15/12/20;00:00:00;0.0377100;0.0380400;0.0376100;0.0377650;39265700000
VTBR;D;16/12/20;00:00:00;0.0378200;0.0385000;0.0377000;0.0383150;64465980000
VTBR;D;17/12/20;00:00:00;0.0383500;0.0389400;0.0380050;0.0383500;48285610000
VTBR;D;18/12/20;00:00:00;0.0381950;0.0383650;0.0378250;0.0381500;29649110000
VTBR;D;21/12/20;00:00:00;0.0379550;0.0380450;0.0365150;0.0371800;58457380000
VTBR;D;22/12/20;00:00:00;0.0368950;0.0375400;0.0367550;0.0372050;27808460000
VTBR;D;23/12/20;00:00:00;0.0372850;0.0381450;0.0371550;0.0379450;33245910000
VTBR;D;24/12/20;00:00:00;0.0381050;0.0382700;0.0376700;0.0378300;17825410000
VTBR;D;25/12/20;00:00:00;0.0378500;0.0380750;0.0378000;0.0379500;9898910000
VTBR;D;28/12/20;00:00:00;0.0383000;0.0383150;0.0379000;0.0380100;18188520000
VTBR;D;29/12/20;00:00:00;0.0381550;0.0382200;0.0374650;0.0377550;16669170000
VTBR;D;30/12/20;00:00:00;0.0378400;0.0381800;0.0375000;0.0378950;17773750000
VTBR;D;04/01/21;00:00:00;0.0380250;0.0385200;0.0378000;0.0379250;23826040000
VTBR;D;05/01/21;00:00:00;0.0379350;0.0386000;0.0378550;0.0384450;28782590000
VTBR;D;06/01/21;00:00:00;0.0385250;0.0385950;0.0380500;0.0382350;25428390000
VTBR;D;08/01/21;00:00:00;0.0385200;0.0390950;0.0384450;0.0389400;39504750000
VTBR;D;11/01/21;00:00:00;0.0387400;0.0400500;0.0384100;0.0398900;60293350000
VTBR;D;12/01/21;00:00:00;0.0400500;0.0405500;0.0397500;0.0401750;49414150000
VTBR;D;13/01/21;00:00:00;0.0402050;0.0404600;0.0395100;0.0397350;37088800000
VTBR;D;14/01/21;00:00:00;0.0397900;0.0401000;0.0392600;0.0398750;26614430000
VTBR;D;15/01/21;00:00:00;0.0397350;0.0414400;0.0392000;0.0395600;84199700000
VTBR;D;18/01/21;00:00:00;0.0393650;0.0394400;0.0387550;0.0391600;39167780000
VTBR;D;19/01/21;00:00:00;0.0393600;0.0394750;0.0385500;0.0386450;33754240000
VTBR;D;20/01/21;00:00:00;0.0386750;0.0389100;0.0386000;0.0387900;24767440000
VTBR;D;21/01/21;00:00:00;0.0389750;0.0389900;0.0377900;0.0378700;37873510000
VTBR;D;22/01/21;00:00:00;0.0376500;0.0377400;0.0370800;0.0373700;33368140000
VTBR;D;25/01/21;00:00:00;0.0375700;0.0379000;0.0374050;0.0377200;25833990000
VTBR;D;26/01/21;00:00:00;0.0375500;0.0378250;0.0373500;0.0377200;18534280000
VTBR;D;27/01/21;00:00:00;0.0377950;0.0378850;0.0370200;0.0370650;24553950000
VTBR;D;28/01/21;00:00:00;0.0370150;0.0373200;0.0364000;0.0370900;34054250000
VTBR;D;29/01/21;00:00:00;0.0369350;0.0369550;0.0365500;0.0366350;22231830000
VTBR;D;01/02/21;00:00:00;0.0368050;0.0371450;0.0366350;0.0369450;20868410000
VTBR;D;02/02/21;00:00:00;0.0371050;0.0375300;0.0368500;0.0369450;27879580000
VTBR;D;03/02/21;00:00:00;0.0370950;0.0373750;0.0367500;0.0370000;22583830000
VTBR;D;04/02/21;00:00:00;0.0369300;0.0374000;0.0369300;0.0373800;18425370000
VTBR;D;05/02/21;00:00:00;0.0374600;0.0380750;0.0373150;0.0378850;29788030000
VTBR;D;08/02/21;00:00:00;0.0380300;0.0383400;0.0380200;0.0382850;19924360000
VTBR;D;09/02/21;00:00:00;0.0383750;0.0384250;0.0375900;0.0378050;25137910000
VTBR;D;10/02/21;00:00:00;0.0378600;0.0380700;0.0372800;0.0373700;16850560000
VTBR;D;11/02/21;00:00:00;0.0373700;0.0377300;0.0372350;0.0374700;12235000000
VTBR;D;12/02/21;00:00:00;0.0374200;0.0376900;0.0369450;0.0376850;20117990000
VTBR;D;15/02/21;00:00:00;0.0378400;0.0381450;0.0377500;0.0380800;21239530000
VTBR;D;16/02/21;00:00:00;0.0381600;0.0382250;0.0377000;0.0378900;15712950000
VTBR;D;17/02/21;00:00:00;0.0378600;0.0383000;0.0373800;0.0376800;23405520000
VTBR;D;18/02/21;00:00:00;0.0376900;0.0377350;0.0367550;0.0369400;25669960000
VTBR;D;19/02/21;00:00:00;0.0368050;0.0374650;0.0367150;0.0373800;20646160000
VTBR;D;20/02/21;00:00:00;0.0373200;0.0373800;0.0371500;0.0373100;3098040000
VTBR;D;22/02/21;00:00:00;0.0374600;0.0376250;0.0369700;0.0373500;10317550000
VTBR;D;24/02/21;00:00:00;0.0372000;0.0375800;0.0371100;0.0374800;16602680000
VTBR;D;25/02/21;00:00:00;0.0375500;0.0381000;0.0373250;0.0374150;36406460000
VTBR;D;26/02/21;00:00:00;0.0372800;0.0377200;0.0369600;0.0370750;33532730000
VTBR;D;01/03/21;00:00:00;0.0372600;0.0374600;0.0372150;0.0373850;14681550000
VTBR;D;02/03/21;00:00:00;0.0372700;0.0377300;0.0371250;0.0376050;19682030000
VTBR;D;03/03/21;00:00:00;0.0377750;0.0380850;0.0373000;0.0374450;25544080000
VTBR;D;04/03/21;00:00:00;0.0374700;0.0377550;0.0368500;0.0369750;31175250000
VTBR;D;05/03/21;00:00:00;0.0371600;0.0376000;0.0369650;0.0375900;25882480000
VTBR;D;09/03/21;00:00:00;0.0376400;0.0386350;0.0375950;0.0384650;40764200000
VTBR;D;10/03/21;00:00:00;0.0383000;0.0390900;0.0380850;0.0383100;26415870000
VTBR;D;11/03/21;00:00:00;0.0384350;0.0386550;0.0378150;0.0382650;24632460000
VTBR;D;12/03/21;00:00:00;0.0382800;0.0382950;0.0379750;0.0381750;12839710000
VTBR;D;15/03/21;00:00:00;0.0383000;0.0388000;0.0382050;0.0385700;22959230000
VTBR;D;16/03/21;00:00:00;0.0385000;0.0389200;0.0383000;0.0387650;19199060000
VTBR;D;17/03/21;00:00:00;0.0387500;0.0388250;0.0378450;0.0382150;26202870000
VTBR;D;18/03/21;00:00:00;0.0383300;0.0384500;0.0374450;0.0376100;26253390000
VTBR;D;19/03/21;00:00:00;0.0376300;0.0380300;0.0374200;0.0378500;27769730000
VTBR;D;22/03/21;00:00:00;0.0378100;0.0386000;0.0377200;0.0381600;29542990000
VTBR;D;23/03/21;00:00:00;0.0380900;0.0382900;0.0376250;0.0378000;22963540000
VTBR;D;24/03/21;00:00:00;0.0379500;0.0381950;0.0378150;0.0379150;13779590000
VTBR;D;25/03/21;00:00:00;0.0379200;0.0381650;0.0376700;0.0380500;13863770000
VTBR;D;26/03/21;00:00:00;0.0381100;0.0384600;0.0381050;0.0383800;12057530000
VTBR;D;29/03/21;00:00:00;0.0383050;0.0389000;0.0381350;0.0387850;25066570000
VTBR;D;30/03/21;00:00:00;0.0389500;0.0399350;0.0388500;0.0398600;36307520000
VTBR;D;31/03/21;00:00:00;0.0399100;0.0428900;0.0398500;0.0427150;183364910000
VTBR;D;01/04/21;00:00:00;0.0430100;0.0436350;0.0423000;0.0425800;93354520000
VTBR;D;02/04/21;00:00:00;0.0427750;0.0431750;0.0420700;0.0428550;38628630000
VTBR;D;05/04/21;00:00:00;0.0428550;0.0444300;0.0427250;0.0443750;71690840000
VTBR;D;06/04/21;00:00:00;0.0444850;0.0449350;0.0428300;0.0429000;96153500000
VTBR;D;07/04/21;00:00:00;0.0429400;0.0444000;0.0426750;0.0441000;55991110000
VTBR;D;08/04/21;00:00:00;0.0443800;0.0449800;0.0438650;0.0440550;50183460000
VTBR;D;09/04/21;00:00:00;0.0440550;0.0441450;0.0434000;0.0437500;30685920000
VTBR;D;12/04/21;00:00:00;0.0436000;0.0445000;0.0433500;0.0440200;27490580000
VTBR;D;13/04/21;00:00:00;0.0442050;0.0455000;0.0441650;0.0454800;55308140000
VTBR;D;14/04/21;00:00:00;0.0457200;0.0471800;0.0456250;0.0467600;83028330000
VTBR;D;15/04/21;00:00:00;0.0459250;0.0467050;0.0456450;0.0463550;39375660000
VTBR;D;16/04/21;00:00:00;0.0467550;0.0475400;0.0465650;0.0474750;52215500000
VTBR;D;19/04/21;00:00:00;0.0476000;0.0478000;0.0463500;0.0464200;53776260000
VTBR;D;20/04/21;00:00:00;0.0466750;0.0482000;0.0459250;0.0468250;136845990000
VTBR;D;21/04/21;00:00:00;0.0467650;0.0479500;0.0464950;0.0478600;67672170000
VTBR;D;22/04/21;00:00:00;0.0479900;0.0482700;0.0472200;0.0480000;57146490000
VTBR;D;23/04/21;00:00:00;0.0481600;0.0515000;0.0480950;0.0513600;192176100000
VTBR;D;26/04/21;00:00:00;0.0518100;0.0521600;0.0504100;0.0513150;107092710000
VTBR;D;27/04/21;00:00:00;0.0513600;0.0517700;0.0508800;0.0512950;59668180000
VTBR;D;28/04/21;00:00:00;0.0516400;0.0517200;0.0501400;0.0503300;71944660000
VTBR;D;29/04/21;00:00:00;0.0506250;0.0512400;0.0494500;0.0500100;66592400000
VTBR;D;30/04/21;00:00:00;0.0498250;0.0516800;0.0495550;0.0516000;73626500000
VTBR;D;04/05/21;00:00:00;0.0518900;0.0549000;0.0517200;0.0546950;144339140000
VTBR;D;05/05/21;00:00:00;0.0548350;0.0556550;0.0535300;0.0541250;76267680000
VTBR;D;06/05/21;00:00:00;0.0541950;0.0548450;0.0535650;0.0542850;37924440000
VTBR;D;07/05/21;00:00:00;0.0544600;0.0545500;0.0524200;0.0527250;56897060000
VTBR;D;10/05/21;00:00:00;0.0529550;0.0531950;0.0502200;0.0508950;64890990000
VTBR;D;11/05/21;00:00:00;0.0508000;0.0516400;0.0495000;0.0495800;87124770000
VTBR;D;12/05/21;00:00:00;0.0498000;0.0501000;0.0484050;0.0486050;84964420000
VTBR;D;13/05/21;00:00:00;0.0487250;0.0512600;0.0485700;0.0510550;78435810000
VTBR;D;14/05/21;00:00:00;0.0512750;0.0515500;0.0496000;0.0500750;55181590000
VTBR;D;17/05/21;00:00:00;0.0501900;0.0503350;0.0477650;0.0479600;105350800000
VTBR;D;18/05/21;00:00:00;0.0481500;0.0485800;0.0456000;0.0456700;218952290000
VTBR;D;19/05/21;00:00:00;0.0451950;0.0474200;0.0441100;0.0453000;345383220000
VTBR;D;20/05/21;00:00:00;0.0454900;0.0466700;0.0447700;0.0463200;144516270000
VTBR;D;21/05/21;00:00:00;0.0464150;0.0464250;0.0451600;0.0456050;84364270000
VTBR;D;24/05/21;00:00:00;0.0458150;0.0460750;0.0451450;0.0454150;52714750000
