<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;D;15/01/21;00:00:00;464.7500000;466.8500000;460.7000000;463.5500000;6560
MDMG;D;18/01/21;00:00:00;461.2500000;468.1000000;461.0500000;465.0500000;5800
MDMG;D;19/01/21;00:00:00;470.5500000;494.0000000;459.6500000;490.9000000;112200
MDMG;D;20/01/21;00:00:00;490.0000000;549.0000000;481.0500000;501.9500000;312480
MDMG;D;21/01/21;00:00:00;500.0000000;510.0000000;481.0500000;490.0000000;39230
MDMG;D;22/01/21;00:00:00;490.1500000;502.2500000;486.0500000;491.2000000;25290
MDMG;D;25/01/21;00:00:00;500.0000000;500.0000000;488.3000000;499.4500000;14130
MDMG;D;26/01/21;00:00:00;501.0000000;501.0000000;488.0000000;489.5000000;14070
MDMG;D;27/01/21;00:00:00;489.2000000;491.1500000;471.8500000;487.6500000;9220
MDMG;D;28/01/21;00:00:00;489.9000000;492.9500000;483.3000000;485.0000000;7160
MDMG;D;29/01/21;00:00:00;493.7000000;509.9500000;471.1500000;471.9500000;18150
MDMG;D;01/02/21;00:00:00;478.9000000;483.4500000;456.2500000;464.0000000;88400
MDMG;D;02/02/21;00:00:00;461.8500000;472.9000000;460.2500000;471.0000000;32080
MDMG;D;03/02/21;00:00:00;472.2500000;473.1000000;467.2000000;468.3500000;12340
MDMG;D;04/02/21;00:00:00;467.1500000;469.0500000;465.1000000;466.5000000;6230
MDMG;D;05/02/21;00:00:00;478.9000000;478.9000000;457.4500000;463.0000000;9480
MDMG;D;08/02/21;00:00:00;469.9000000;488.7500000;463.0000000;486.1000000;51140
MDMG;D;09/02/21;00:00:00;490.1000000;500.0000000;483.2000000;499.9500000;69380
MDMG;D;10/02/21;00:00:00;500.0000000;500.0000000;491.0500000;498.1000000;26600
MDMG;D;11/02/21;00:00:00;497.0000000;498.0000000;482.1000000;497.0000000;42230
MDMG;D;12/02/21;00:00:00;495.0000000;499.4000000;489.9000000;492.3500000;26700
MDMG;D;15/02/21;00:00:00;491.1500000;498.0500000;483.9500000;492.2000000;3430
MDMG;D;16/02/21;00:00:00;493.6500000;499.0500000;490.0500000;495.1000000;6600
MDMG;D;17/02/21;00:00:00;495.1500000;504.9500000;470.0500000;502.0000000;27290
MDMG;D;18/02/21;00:00:00;502.0500000;517.0000000;493.0000000;507.0000000;30480
MDMG;D;19/02/21;00:00:00;514.9500000;514.9500000;505.7500000;510.0000000;57780
MDMG;D;20/02/21;00:00:00;515.0000000;559.0000000;503.0000000;537.0500000;263720
MDMG;D;22/02/21;00:00:00;548.5000000;570.0000000;540.1000000;543.9500000;86120
MDMG;D;24/02/21;00:00:00;543.4000000;554.8500000;511.2000000;518.5000000;58950
MDMG;D;25/02/21;00:00:00;526.5000000;543.5500000;510.0000000;510.0000000;26910
MDMG;D;26/02/21;00:00:00;527.9500000;527.9500000;495.0000000;502.0000000;48770
MDMG;D;01/03/21;00:00:00;509.9500000;522.7000000;504.2500000;507.0000000;58650
MDMG;D;02/03/21;00:00:00;510.0500000;516.9500000;501.5000000;512.0500000;46100
MDMG;D;03/03/21;00:00:00;518.0000000;518.1000000;508.5500000;513.1000000;10270
MDMG;D;04/03/21;00:00:00;511.5000000;523.0000000;510.8500000;523.0000000;15250
MDMG;D;05/03/21;00:00:00;522.9000000;528.4500000;510.8500000;527.9500000;31340
MDMG;D;09/03/21;00:00:00;507.0000000;524.9500000;507.0000000;524.9500000;7790
MDMG;D;10/03/21;00:00:00;510.2000000;523.0000000;510.1500000;520.4000000;10730
MDMG;D;11/03/21;00:00:00;521.6500000;521.6500000;513.1000000;515.4000000;9540
MDMG;D;12/03/21;00:00:00;523.1000000;523.1000000;511.1500000;513.5000000;7540
